algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.050028601,2.653179190751445,16.799999237060547,136,20,4,InfiniteSteps180,38,67,4,10,trackB3,871,19,459,259,295,4,1,64.227502,MaxSatDddLadderSc,0.0050044,ok,0.055030801,5,13,50,4
0.10119240299999999,5.03951367781155,15.949999809265137,2246,25,341,InfiniteSteps180,39,185,341,28,trackB4,8482,223,3316,2383,2907,22,1,281.518709,MaxSatDddLadderSc,0.175426305,ok,0.276617208,20,99,62,341
0.058088102,4.202185792349726,17.799999237060547,136,25,11,InfiniteSteps180,40,95,11,14,trackB5,1907,48,769,541,659,11,2,86.937603,MaxSatDddLadderSc,0.0162274,ok,0.074313402,5,37,44,11
0.0517049,1.7070063694267517,15.199999809265137,93,25,2,InfiniteSteps180,41,51,2,4,trackB6,349,4,268,106,119,2,1,64.42580000000001,MaxSatDddLadderSc,0.0025499,ok,0.0542527,5,1,46,2
0.183695802,4.038359788359788,15.25,2865,25,318,InfiniteSteps180,42,156,318,32,trackB7,7226,195,3053,2070,2464,24,1,417.629502,MaxSatDddLadderSc,0.2254762,ok,0.409170902,24,93,37,318
0.027352500000000002,3.1079136690647484,13.399999618530273,72,25,12,InfiniteSteps180,43,105,12,9,trackB8,978,20,432,265,343,12,3,40.0436,MaxSatDddLadderSc,0.0051388,ok,0.0324887,5,14,77,12
0.034379099999999996,4.959390862944162,13.571428298950195,150,25,51,InfiniteSteps180,44,122,51,16,trackB9,2460,68,977,701,838,10,1,55.5682,MaxSatDddLadderSc,0.0143208,ok,0.0486988,7,45,65,51
0.041404699999999996,1.320855614973262,12.857142448425293,126,25,41,InfiniteSteps180,45,22,41,4,trackB10,199,5,247,53,68,6,1,58.763000000000005,MaxSatDddLadderSc,0.0019592,ok,0.0433588,7,2,14,41
0.19486360799999997,3.871698113207547,15.399999618530273,3202,25,391,InfiniteSteps180,46,159,391,21,trackB11,7172,180,3078,2035,2457,26,1,448.602919,MaxSatDddLadderSc,0.244553811,ok,0.439414219,25,83,48,391
0.120042806,3.6324786324786325,16.214284896850586,970,25,88,InfiniteSteps180,47,142,88,19,trackB12,5231,145,1700,1066,1954,41,3,454.38651899999996,MaxSatDddLadderSc,0.323649513,ok,0.443689319,14,65,32,88
0.46396142099999993,6.043443282381335,20.931034088134766,5915,33,81,InfiniteSteps180,48,255,81,24,stationA1,19548,495,7512,5649,6662,46,1,1409.3997599999998,MaxSatDddLadderSc,0.934339138,ok,1.398298659,29,140,67,81
0.283877803,5.655384615384615,19.0,3735,33,59,InfiniteSteps180,49,172,59,27,stationA2,14526,402,5514,4070,4962,59,1,915.23651,MaxSatDddLadderSc,0.622501107,ok,0.90637811,25,104,7,59
0.245598802,4.396174863387978,22.375,2061,33,26,InfiniteSteps180,50,174,26,19,stationA3,7804,150,3218,2276,2673,26,1,446.435404,MaxSatDddLadderSc,0.184634802,ok,0.430230604,16,88,58,26
0.157804102,3.8822463768115942,19.214284896850586,1175,33,22,InfiniteSteps180,51,179,22,16,stationA4,4940,92,2143,1481,1671,22,1,251.033102,MaxSatDddLadderSc,0.0810966,ok,0.238898402,14,60,95,22
0.09297938,3.2531645569620253,19.25,876,33,23,InfiniteSteps180,52,137,23,14,stationA5,3385,63,1542,995,1151,23,1,139.416075,MaxSatDddLadderSc,0.036516297,ok,0.129493277,12,39,73,23
